Domain,Core Field,Job Role,Aptitude (LRDI),Aptitude (QA),Aptitude (VARC),EQ,Personality,Skills
Human Resources (HR),HR Management:,HR Generalist,11,7,11,7,ESTP,"Handling day-to-day HR operations, employee relations, performance management, policy implementation, and compliance. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,HR Intern,11,7,11,2,ENFP,"Exposure to various HR functions, assisting HR professionals in projects, and gaining hands-on experience in different HR areas. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,HR Intern,11,7,11,2,ENFP,"Gain hands-on experience in various HR functions, assist in HR projects, and learn HR management concepts and practices. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,HR Manager,11,7,11,11,ENTJ,"Ability to align HR strategies with organizational goals, anticipate workforce needs, and develop long-term HR plans.
Legal Compliance, Change Management,Strong leadership skills to inspire and motivate teams, delegate tasks effectively, and foster a collaborative and inclusive work culture.
Proficiency in data analysis to derive insights, measure HR metrics, and make data-driven decisions for optimizing HR processes and strategies., Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,HRIS Administrator,11,7,11,8,ISTJ,"Maintenance and optimization of HRIS systems, data integrity management, user support, and system upgrades. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),HR Management:,Human Resources Assistant,11,7,11,3,ESFP,"HR Management, Recruitment, Communication, Organizational Development"
Human Resources (HR),HR Management:,Human Resources Manager,11,7,11,11,ENFJ,"Recruitment and selection, employee relations, performance management, training and development, HR policies and procedures, interpersonal skills"
Human Resources (HR),HR Management:,Performance Appraisal Administrator,11,7,11,6,ISFJ,"Assist in administering performance appraisal processes, collecting feedback, and compiling performance data. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),HR Management:,Performance Management Specialist,11,7,11,11,ENTJ,"Design performance appraisal systems, provide performance feedback, and develop performance improvement plans. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),Training and Development:,Leadership Development Specialist,11,7,9,12,ENFJ,"Leadership assessment, executive coaching, succession planning, and development of leadership programs aligned with organizational goals. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),Training and Development:,Training and Development Manager,11,7,9,12,ENFJ,"Training needs analysis, curriculum development, training delivery, performance coaching, and learning technology management. Communication Skills , Interpersonal Skills, Problem-Solving, Emotional Intelligence, Adaptability, Ethical Conduct and Leadership"
Human Resources (HR),Training and Development:,Training and Development Manager,11,7,9,12,ENFJ,"Curriculum design, training facilitation, performance coaching, and evaluation to enhance employee skills and competencies. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),Training and Development:,Training Coordinator,11,7,9,7,ISFJ,"Assist in training logistics, coordinate training sessions, and maintain training records for employees. Interpersonal Skills, Analytical Skills, Change Management, Leadership Skills, Problem-Solving, Ethical Conduct, Strategic Thinking and Adaptability"
Human Resources (HR),Training and Development:,Training Coordinator,11,7,9,7,ISFJ,"Training, Program Management, Communication, Organizational Development"
Information Technology (IT),Software Development:,Junior Developer,11,7,9,3,INTJ,"Programming skills, problem-solving, communication, teamwork, understanding of development methodologies"
Information Technology (IT),Software Development:,Junior Software Developer,11,7,9,3,ENFP,"Programming Languages (e.g., Java, Python), Problem Solving"
Information Technology (IT),Software Development:,Web Developer,11,7,9,7,INTP,"HTML/CSS, JavaScript, Web Development, UX/UI Design"
Information Technology (IT),Software Development:,Machine Learning Engineer,11,7,9,8,INTJ,"Machine Learning, Python/R, Data Analysis, Algorithm Development"
Information Technology (IT),Software Development:,UX Designer,11,7,9,7,INFP,"UX Design, User Research, Prototyping, Usability Testing"
Information Technology (IT),Data Analysis and Engineering:,Analytics Consultant,11,11,7,12,INTJ,"Consulting skills, data interpretation, business strategy alignment, presentation skills, project management."
Information Technology (IT),Data Analysis and Engineering:,Big Data Architect,11,11,7,5,INTJ,"Hadoop ecosystem, NoSQL databases, distributed computing, data engineering, cloud computing."
Information Technology (IT),Data Analysis and Engineering:,Business Intelligence Analyst,11,11,7,7,ISTJ,"Dashboard maintenance, basic SQL querying, data visualization, support tasks"
Information Technology (IT),Data Analysis and Engineering:,Business Intelligence Analyst,11,11,7,7,ISTJ,"Data analysis, BI tools (e.g., Tableau, Power BI), SQL, data visualization, communication"
Information Technology (IT),Data Analysis and Engineering:,Business Intelligence Analyst,11,11,7,7,ISTJ,"BI Tools, Data Analysis, Reporting, SQL"
Information Technology (IT),Data Analysis and Engineering:,Business Intelligence Manager,11,11,7,10,INTJ,"Data warehousing, dashboard development, SQL querying, business acumen, communication"
Information Technology (IT),Data Analysis and Engineering:,Business Intelligence Manager,11,11,7,10,INTJ,"Data analysis, data visualization, business intelligence tools (e.g., Tableau, Power BI), and understanding of data warehousing concepts. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),Data Analysis and Engineering:,Business Intelligence Support,11,11,7,3,ISFJ,"BI tools (e.g., Tableau, Power BI), data analysis, communication, problem-solving, SQL"
Information Technology (IT),Data Analysis and Engineering:,Cybersecurity Analyst,11,11,7,7,ISTP,"Knowledge of cybersecurity frameworks, threat detection, risk assessment, and security compliance requirements. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),Data Analysis and Engineering:,Cybersecurity Analyst,11,11,7,7,ISTP,"Cybersecurity, Risk Assessment, Incident Response, Technical Skills"
Information Technology (IT),Data Analysis and Engineering:,Cybersecurity Analyst,11,11,7,7,ISTP,"Cybersecurity Fundamentals, Risk Assessment, Incident Response"
Information Technology (IT),Data Analysis and Engineering:,Data Analyst,11,11,7,7,ISTJ,"Data manipulation, statistical analysis, SQL querying, data visualization, attention to detail"
Information Technology (IT),Data Analysis and Engineering:,Data Analyst,11,11,7,7,ISTJ,"Data mining, statistical analysis, visualization techniques, and programming skills (e.g., Python, R) to derive insights from large datasets. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Information Technology (IT),Data Analysis and Engineering:,Data Analyst,11,11,7,7,ISTJ,"Data analysis, statistical knowledge, programming (SQL, Python), data visualization, critical thinking"
Information Technology (IT),Data Analysis and Engineering:,Data Analyst,11,11,7,7,ISTJ,"Data Analysis, SQL, Reporting, Data Visualization"
Information Technology (IT),Data Analysis and Engineering:,Data Engineer,11,11,7,4,INTJ,"Proficiency in database technologies like SQL for data extraction, transformation, and loading (ETL), Knowledge of data warehousing concepts and technologies like Snowflake, Redshift, or BigQuery, Proficiency in programming languages like Python, Java, or Scala for data manipulation and transformation tasks, Familiarity with big data frameworks like Hadoop, Spark, or Kafka for processing large volumes of data, Understanding of data modeling techniques and experience in designing efficient data models, Experience with cloud platforms like AWS, Azure, or Google Cloud for deploying and managing data infrastructure.
"
Information Technology (IT),Data Analysis and Engineering:,Data Engineer,11,11,7,4,INTJ,"ETL Processes, SQL, Big Data Technologies, Data Warehousing"
Information Technology (IT),Data Analysis and Engineering:,Data Entry Operator,11,11,7,2,ISFJ,"Data entry, attention to detail, organizational skills, basic computer skills, accuracy"
Information Technology (IT),Data Analysis and Engineering:,Data Scientist,11,11,7,8,INTP,"Advanced statistical analysis, machine learning algorithms, programming (Python, R), data visualization, problem-solving"
Information Technology (IT),Data Analysis and Engineering:,Data Scientist,11,11,7,8,INTP,"Data analysis, machine learning, programming (Python, R), statistical knowledge, data visualization"
Information Technology (IT),Data Analysis and Engineering:,Data Scientist,11,11,7,8,INTP,"Machine Learning, Python/R, Data Analysis, Statistical Modeling"
Information Technology (IT),Data Analysis and Engineering:,Database Administrator,11,11,7,3,ISTJ,"Database management, SQL querying, database performance tuning, and data security management. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),Data Analysis and Engineering:,Database Administrator,11,11,7,3,ISTJ,"SQL, Database Management Systems, Troubleshooting"
Information Technology (IT),Data Analysis and Engineering:,Decision Support Analyst,11,11,7,7,ENTJ,"Decision analysis, data analysis, problem-solving, communication, business intelligence tools"
Information Technology (IT),Data Analysis and Engineering:,GIS Analyst,11,11,7,7,ISTJ,"GIS, Data Analysis, Mapping, Reporting"
Information Technology (IT),Data Analysis and Engineering:,Junior Data Analyst,11,11,7,3,INTP,"Basic data analysis, report generation, Excel proficiency, willingness to learn."
Information Technology (IT),Data Analysis and Engineering:,Predictive Analytics Manager,11,11,7,12,INTJ,"Predictive modeling, data mining, forecasting techniques, domain knowledge, communication"
Information Technology (IT),Data Analysis and Engineering:,Quantitative Analyst,11,11,7,8,INTJ,"Quantitative analysis, statistical knowledge, programming (Python, R), financial modeling, data analysis"
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Requirements gathering, process mapping, stakeholder management, documentation, critical thinking"
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Analyze business processes, identify improvement opportunities, and support strategic decision-making through data-driven insights."
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Conduct business performance analysis, competitor benchmarking, and feasibility studies to support strategic decision-making in organizations. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Analyze business processes, identify improvement opportunities, and support strategic decision-making through data-driven insights. Analytical Skills, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Analytical skills, communication, problem-solving, data analysis, requirements gathering"
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Analytical skills, communication, data analysis, problem-solving, requirements gathering"
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Analytical skills, data analysis, communication, problem-solving, requirements gathering"
Information Technology (IT),IT Consulting and Support:,Business Analyst,11,7,9,7,INTJ,"Business Analysis, Requirements Gathering, Communication, Data Analysis"
Information Technology (IT),IT Consulting and Support:,Business Consultant,11,7,9,12,ENTJ,"Analytical skills, problem-solving, communication, strategic planning, project management"
Information Technology (IT),IT Consulting and Support:,Business Process Analyst,11,7,9,7,ISTJ,"Analytical skills, business process mapping, process improvement methodologies (e.g., Six Sigma, Lean), and stakeholder communication. Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management.
Communication Skills, Problem-Solving, Teamwork, Leadership"
Information Technology (IT),IT Consulting and Support:,Business Support Associate,11,7,9,6,ISFJ,"Administrative skills, communication, problem-solving, organizational skills, customer service"
Information Technology (IT),IT Consulting and Support:,Enterprise Architect,11,7,9,5,INTJ,"Knowledge of enterprise architecture frameworks (e.g., TOGAF), systems integration, cloud computing, and IT infrastructure management. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,Help Desk Technician,11,7,9,2,ISFP,"Problem Solving, Technical Support, Troubleshooting"
Information Technology (IT),IT Consulting and Support:,IT Analyst,11,7,9,7,ISTJ,"Technical analysis, problem-solving, data analysis, communication, knowledge of IT systems"
Information Technology (IT),IT Consulting and Support:,IT Consultant,11,7,9,12,ENTJ,"IT infrastructure management, system integration, software implementation, and client relationship management. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Information Technology (IT),IT Consulting and Support:,IT Consultant,11,7,9,12,ENTJ,"Strategic thinking, IT governance, project management, technology evaluation, and business-IT alignment. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Consultant,11,7,9,12,ENTJ,"Technical expertise, problem-solving, communication, project management, client management"
Information Technology (IT),IT Consulting and Support:,IT Consultant,11,7,9,12,ENTJ,"IT Strategy, Problem Solving, Client Management"
Information Technology (IT),IT Consulting and Support:,IT Coordinator,11,7,9,7,ESFJ,"Coordination of IT projects, scheduling, resource allocation, and documentation. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Coordinator,11,7,9,7,ESFJ,"Coordination, communication, technical skills, project management, organization"
Information Technology (IT),IT Consulting and Support:,IT Intern,11,7,9,2,ENFP,"Gain hands-on experience in various IT roles, assist in IT projects, and learn IT management concepts and practices. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Project Coordinator,11,7,9,8,ESTJ,"Project Management, Communication, Technical Knowledge"
Information Technology (IT),IT Consulting and Support:,IT Project Manager,11,7,9,8,ENTJ,"Project management expertise, software development lifecycle (SDLC) knowledge, stakeholder management, and budgeting skills. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Information Technology (IT),IT Consulting and Support:,IT Project Manager,11,7,9,8,ENTJ,"Project management methodologies (e.g., Agile, Waterfall), stakeholder management, budgeting, and risk management. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Project Manager,11,7,9,8,ENTJ,"IT project management, communication, leadership, risk management, technical understanding"
Information Technology (IT),IT Consulting and Support:,IT Sales,11,7,9,3,ESTP,"Sales skills, communication, technical knowledge, customer relationship management, negotiation"
Information Technology (IT),IT Consulting and Support:,IT Service Manager,11,7,9,12,ENFJ,"IT service delivery management, incident management, problem management, and service level agreement (SLA) management. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Strategist,11,7,9,8,INTJ,"Strategic planning, IT knowledge, communication, business acumen, innovation"
Information Technology (IT),IT Consulting and Support:,IT Strategy Analyst,11,7,9,8,INFJ,"Analytical skills, strategic planning, technology trends analysis, and communication skills to support IT strategy development and implementation. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture).
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Strategy Consultant,11,7,9,9,ENTJ,"Strategic thinking, IT governance, technology evaluation, digital transformation, and business-IT alignment. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Information Technology (IT),IT Consulting and Support:,IT Support Analyst,11,7,9,7,ISTP,"Technical support for software/hardware issues, troubleshooting, and user training. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Information Technology (IT),IT Consulting and Support:,IT Support Specialist,11,7,9,7,ISFJ,"Technical support for software/hardware issues, troubleshooting, and user training. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,IT Support Specialist,11,7,9,7,ISFJ,"Technical troubleshooting, communication, customer service, problem-solving, knowledge of IT systems"
Information Technology (IT),IT Consulting and Support:,IT Support Specialist,11,7,9,7,ISFJ,"IT Support, Troubleshooting, Communication, Technical Skills"
Information Technology (IT),IT Consulting and Support:,IT Support Specialist,11,7,9,7,ISFJ,"Technical Troubleshooting, Customer Service, Communication"
Information Technology (IT),IT Consulting and Support:,IT Technician,11,7,9,2,ISTJ,"Technical troubleshooting, hardware/software knowledge, communication, problem-solving, customer service"
Information Technology (IT),IT Consulting and Support:,Junior Analyst,11,7,9,3,ISTJ,"Analytical skills, data analysis, communication, problem-solving, research skills"
Information Technology (IT),IT Consulting and Support:,Junior Business Analyst,11,7,9,3,ENTP,"Assist in gathering and documenting business requirements, conducting user interviews, and preparing functional specifications. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Information Technology (IT),IT Consulting and Support:,Junior Business Analyst,11,7,9,3,ENTP,"Analytical skills, data analysis, communication, problem-solving, technical understanding"
Information Technology (IT),IT Consulting and Support:,Junior IT Analyst,11,7,9,3,ISFJ,"Technical skills, problem-solving, data analysis, communication, knowledge of IT systems"
Information Technology (IT),IT Consulting and Support:,Junior Systems Analyst,11,7,9,3,ENTJ,"Systems Analysis, Requirements Gathering, Communication"
Information Technology (IT),IT Consulting and Support:,Network Administrator,11,7,9,3,ISTJ,"Network Configuration, Troubleshooting, Security"
Information Technology (IT),IT Consulting and Support:,Product Manager (Tech),11,7,9,12,INTJ,"Product development, data analysis, UX/UI understanding, agile methodology, stakeholder management"
Information Technology (IT),IT Consulting and Support:,Systems Analyst,11,7,9,8,INTP,"Requirement gathering, system analysis, solution design, and user acceptance testing (UAT) for IT projects. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Information Technology (IT),IT Consulting and Support:,Systems Analyst,11,7,9,8,INTP,"Systems analysis, problem-solving, communication, technical skills, requirements analysis"
Information Technology (IT),IT Consulting and Support:,Technical Consultant,11,7,9,12,INTP,"Technical expertise, problem-solving, client management, communication, project management"
Information Technology (IT),IT Consulting and Support:,Technical Support,11,7,9,3,ISFJ,"Technical troubleshooting, communication, customer service, problem-solving, IT systems knowledge"
Information Technology (IT),IT Consulting and Support:,Technical Writer,11,7,9,3,INTP,"Create user manuals, technical documentation, and training materials for IT systems and applications. Proficiency in IT concepts, systems, and technologies relevant to the chosen specialization (e.g., database management, cybersecurity, enterprise architecture). 
Analytical Skills, Knowledge of project management methodologies and tools to plan, execute, and monitor IT projects effectively. 
Communication Skills, Problem-Solving, Understanding of business processes, objectives, and industry trends to align IT strategies with organizational goals, Adaptability, Capacity to work effectively in cross-functional teams, collaborate with stakeholders, and build consensus to achieve IT objectives"
Operations and Logistics:,Supply Chain Management:,Demand Planner,11,9,7,7,ISTP,"Demand Forecasting, Data Analysis, Inventory Management"
Operations and Logistics:,Supply Chain Management:,Freight Forwarding Coordinator,11,9,7,6,ESFJ,"Freight Management, Shipping Documentation, Communication"
Operations and Logistics:,Supply Chain Management:,Inventory Analyst,11,9,7,3,ISTJ,"Inventory Management, Data Analysis, Reporting, Communication"
Operations and Logistics:,Supply Chain Management:,Inventory Analyst,11,9,7,3,ISTJ,"Inventory Management, Data Analysis, Reporting"
Operations and Logistics:,Supply Chain Management:,Inventory Control Associate,11,9,7,3,ISFJ,"Inventory tracking, stock management, and reconciliation of inventory records. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Operations and Logistics:,Supply Chain Management:,Inventory Control Manager,11,9,7,7,ENTJ,"Inventory analysis, stock replenishment strategies, cycle counting, and inventory accuracy management. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Inventory Manager,11,9,7,7,ISTP,"Inventory management, organizational skills, data analysis, communication, problem-solving"
Operations and Logistics:,Supply Chain Management:,Logistics Assistant,11,9,7,3,ISFP,"Support in logistics coordination, route planning, customs documentation, and transportation scheduling. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Logistics Coordinator,11,9,7,7,ESTJ,"Coordination of transportation, warehousing, and distribution activities, route optimization, and supply chain coordination. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Operations and Logistics:,Supply Chain Management:,Logistics Coordinator,11,9,7,7,ESTJ,"Coordination, logistics knowledge, communication, problem-solving, organizational skills"
Operations and Logistics:,Supply Chain Management:,Logistics Coordinator,11,9,7,7,ESTJ,"Logistics Management, Supply Chain Management, Inventory Management, Communication"
Operations and Logistics:,Supply Chain Management:,Logistics Coordinator,11,9,7,7,ESTJ,"Logistics Management, Inventory Control, Communication"
Operations and Logistics:,Supply Chain Management:,Logistics Manager,11,9,7,12,ENTJ,"Transportation management, warehouse operations, distribution planning, freight forwarding, and customs regulations. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Logistics Manager,11,9,7,12,ENTJ,"Logistics management, supply chain knowledge, problem-solving, communication, strategic planning"
Operations and Logistics:,Supply Chain Management:,Logistics Specialist,11,9,7,11,ISTP,"Logistics Operations, Supply Chain Management, Communication"
Operations and Logistics:,Supply Chain Management:,Procurement Assistant,11,9,7,3,ISFP,"Assistance in procurement activities, vendor research, price negotiation, and purchase order processing. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Procurement Assistant,11,9,7,3,ISFP,"Procurement Process, Vendor Management, Negotiation"
Operations and Logistics:,Supply Chain Management:,Procurement Manager,11,9,7,11,ESTJ,"Sourcing strategies development, supplier selection, contract negotiation, cost analysis, and supplier relationship management. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Supply Chain Analyst,11,9,7,7,ISTJ,"Data analysis, demand forecasting, inventory management, supply chain optimization, and reporting. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Supply Chain Analyst,11,9,7,7,ISTJ,"Data analysis, supply chain knowledge, communication, problem-solving, inventory management"
